method,class_name,cosine_similarity
gradcam,The_Eiffel_Tower,0.8632
gradcam,The_Mona_Lisa,0.8758
gradcam,airplane,0.9688
gradcam,axe,0.8766
gradcam,backpack,0.9661
gradcam,banana,0.9592
gradcam,barn,0.9627
gradcam,baseball,0.9415
gradcam,baseball_bat,0.9393
gradcam,basketball,0.9436
gradcam,beard,0.9832
gradcam,bicycle,0.9688
gradcam,binoculars,0.9452
gradcam,birthday_cake,0.8914
gradcam,bowtie,0.9633
gradcam,bucket,0.9839
gradcam,circle,0.9285
gradcam,crown,0.9727
gradcam,cup,0.9820
gradcam,door,0.9756
gradcam,duck,0.9755
gradcam,eye,0.9600
gradcam,face,0.9645
gradcam,feather,0.9774
gradcam,firetruck,0.9306
gradcam,fish,0.9805
gradcam,floor_lamp,0.8492
gradcam,flower,0.8997
gradcam,key,0.9759
gradcam,ladder,0.9756
gradcam,laptop,0.8989
gradcam,leaf,0.9566
gradcam,light_bulb,0.8402
gradcam,lighthouse,0.9544
gradcam,lion,0.9918
gradcam,marker,0.9850
gradcam,mermaid,0.9475
gradcam,microwave,0.8990
gradcam,mouse,0.7806
gradcam,palm_tree,0.9737
gradcam,raccoon,0.9849
gradcam,sailboat,0.9532
gradcam,saw,0.9331
gradcam,saxophone,0.9571
gradcam,school_bus,0.9544
gradcam,scissors,0.9252
gradcam,scorpion,0.9204
gradcam,screwdriver,0.9358
gradcam,sheep,0.9780
gradcam,shoe,0.9769
gradcam,shorts,0.9627
gradcam,shovel,0.8918
gradcam,sink,0.9841
gradcam,skull,0.9909
gradcam,skyscraper,0.9585
gradcam,snail,0.9849
gradcam,snake,0.9681
gradcam,soccer_ball,0.9756
gradcam,sock,0.9879
gradcam,speedboat,0.9137
gradcam,spider,0.9409
gradcam,spoon,0.9555
gradcam,spreadsheet,0.9532
gradcam,squirrel,0.9754
gradcam,stairs,0.9667
gradcam,stethoscope,0.9404
gradcam,suitcase,0.9332
gradcam,swan,0.9793
gradcam,sword,0.9270
gradcam,teapot,0.9515
gradcam,telephone,0.9721
gradcam,tent,0.9781
gradcam,tiger,0.9838
gradcam,toaster,0.9254
gradcam,tree,0.9450
gradcam,triangle,0.9798
gradcam,trumpet,0.9544
gradcam,umbrella,0.9562
gradcam,wine_bottle,0.9818
gradcam,wine_glass,0.9734
gradcam,yoga,0.9562
gradcam_pp,The_Eiffel_Tower,0.8963
gradcam_pp,The_Mona_Lisa,0.9357
gradcam_pp,airplane,0.9762
gradcam_pp,axe,0.9088
gradcam_pp,backpack,0.9862
gradcam_pp,banana,0.9717
gradcam_pp,barn,0.9740
gradcam_pp,baseball,0.9483
gradcam_pp,baseball_bat,0.9410
gradcam_pp,basketball,0.9481
gradcam_pp,beard,0.9886
gradcam_pp,bicycle,0.9720
gradcam_pp,binoculars,0.9528
gradcam_pp,birthday_cake,0.9193
gradcam_pp,bowtie,0.9730
gradcam_pp,bucket,0.9907
gradcam_pp,circle,0.9335
gradcam_pp,crown,0.9829
gradcam_pp,cup,0.9846
gradcam_pp,door,0.9848
gradcam_pp,duck,0.9777
gradcam_pp,eye,0.9860
gradcam_pp,face,0.9874
gradcam_pp,feather,0.9893
gradcam_pp,firetruck,0.9496
gradcam_pp,fish,0.9862
gradcam_pp,floor_lamp,0.8479
gradcam_pp,flower,0.9144
gradcam_pp,key,0.9803
gradcam_pp,ladder,0.9703
gradcam_pp,laptop,0.9217
gradcam_pp,leaf,0.9611
gradcam_pp,light_bulb,0.8794
gradcam_pp,lighthouse,0.9637
gradcam_pp,lion,0.9962
gradcam_pp,marker,0.9887
gradcam_pp,mermaid,0.9796
gradcam_pp,microwave,0.9373
gradcam_pp,mouse,0.8111
gradcam_pp,palm_tree,0.9735
gradcam_pp,raccoon,0.9895
gradcam_pp,sailboat,0.9668
gradcam_pp,saw,0.9321
gradcam_pp,saxophone,0.9760
gradcam_pp,school_bus,0.9647
gradcam_pp,scissors,0.9541
gradcam_pp,scorpion,0.9535
gradcam_pp,screwdriver,0.9369
gradcam_pp,sheep,0.9830
gradcam_pp,shoe,0.9776
gradcam_pp,shorts,0.9769
gradcam_pp,shovel,0.8956
gradcam_pp,sink,0.9916
gradcam_pp,skull,0.9839
gradcam_pp,skyscraper,0.9483
gradcam_pp,snail,0.9849
gradcam_pp,snake,0.9713
gradcam_pp,soccer_ball,0.9834
gradcam_pp,sock,0.9915
gradcam_pp,speedboat,0.9242
gradcam_pp,spider,0.9526
gradcam_pp,spoon,0.9754
gradcam_pp,spreadsheet,0.9554
gradcam_pp,squirrel,0.9747
gradcam_pp,stairs,0.9799
gradcam_pp,stethoscope,0.9702
gradcam_pp,suitcase,0.9576
gradcam_pp,swan,0.9831
gradcam_pp,sword,0.9323
gradcam_pp,teapot,0.9644
gradcam_pp,telephone,0.9820
gradcam_pp,tent,0.9869
gradcam_pp,tiger,0.9855
gradcam_pp,toaster,0.9637
gradcam_pp,tree,0.9618
gradcam_pp,triangle,0.9880
gradcam_pp,trumpet,0.9381
gradcam_pp,umbrella,0.9764
gradcam_pp,wine_bottle,0.9872
gradcam_pp,wine_glass,0.9734
gradcam_pp,yoga,0.9801
integrated_gradients,The_Eiffel_Tower,0.8714
integrated_gradients,The_Mona_Lisa,0.8136
integrated_gradients,airplane,0.8752
integrated_gradients,axe,0.8655
integrated_gradients,backpack,0.9083
integrated_gradients,banana,0.9106
integrated_gradients,barn,0.8873
integrated_gradients,baseball,0.7720
integrated_gradients,baseball_bat,0.8870
integrated_gradients,basketball,0.8770
integrated_gradients,beard,0.8632
integrated_gradients,bicycle,0.8867
integrated_gradients,binoculars,0.9056
integrated_gradients,birthday_cake,0.8628
integrated_gradients,bowtie,0.8985
integrated_gradients,bucket,0.8994
integrated_gradients,circle,0.8996
integrated_gradients,crown,0.9040
integrated_gradients,cup,0.9123
integrated_gradients,door,0.9189
integrated_gradients,duck,0.8950
integrated_gradients,eye,0.8919
integrated_gradients,face,0.9107
integrated_gradients,feather,0.9215
integrated_gradients,firetruck,0.9002
integrated_gradients,fish,0.9013
integrated_gradients,floor_lamp,0.8845
integrated_gradients,flower,0.9082
integrated_gradients,key,0.8756
integrated_gradients,ladder,0.9181
integrated_gradients,laptop,0.8691
integrated_gradients,leaf,0.9124
integrated_gradients,light_bulb,0.8775
integrated_gradients,lighthouse,0.8888
integrated_gradients,lion,0.8702
integrated_gradients,marker,0.9197
integrated_gradients,mermaid,0.9011
integrated_gradients,microwave,0.9039
integrated_gradients,mouse,0.8698
integrated_gradients,palm_tree,0.8931
integrated_gradients,raccoon,0.8872
integrated_gradients,sailboat,0.8896
integrated_gradients,saw,0.8703
integrated_gradients,saxophone,0.9105
integrated_gradients,school_bus,0.9002
integrated_gradients,scissors,0.8861
integrated_gradients,scorpion,0.9058
integrated_gradients,screwdriver,0.9166
integrated_gradients,sheep,0.8768
integrated_gradients,shoe,0.9234
integrated_gradients,shorts,0.9064
integrated_gradients,shovel,0.8772
integrated_gradients,sink,0.9001
integrated_gradients,skull,0.9206
integrated_gradients,skyscraper,0.8982
integrated_gradients,snail,0.9008
integrated_gradients,snake,0.9062
integrated_gradients,soccer_ball,0.8820
integrated_gradients,sock,0.8839
integrated_gradients,speedboat,0.8914
integrated_gradients,spider,0.9031
integrated_gradients,spoon,0.9040
integrated_gradients,spreadsheet,0.9306
integrated_gradients,squirrel,0.9051
integrated_gradients,stairs,0.9013
integrated_gradients,stethoscope,0.9095
integrated_gradients,suitcase,0.9007
integrated_gradients,swan,0.8870
integrated_gradients,sword,0.9143
integrated_gradients,teapot,0.9122
integrated_gradients,telephone,0.9115
integrated_gradients,tent,0.9141
integrated_gradients,tiger,0.8906
integrated_gradients,toaster,0.9088
integrated_gradients,tree,0.9065
integrated_gradients,triangle,0.9242
integrated_gradients,trumpet,0.8753
integrated_gradients,umbrella,0.9013
integrated_gradients,wine_bottle,0.9101
integrated_gradients,wine_glass,0.9236
integrated_gradients,yoga,0.9209
lime,The_Eiffel_Tower,0.8783
lime,The_Mona_Lisa,0.8534
lime,airplane,0.8774
lime,axe,0.8475
lime,backpack,0.8913
lime,banana,0.8766
lime,barn,0.8923
lime,baseball,0.7671
lime,baseball_bat,0.7624
lime,basketball,0.8425
lime,beard,0.9153
lime,bicycle,0.8874
lime,binoculars,0.9284
lime,birthday_cake,0.8501
lime,bowtie,0.8991
lime,bucket,0.8891
lime,circle,0.8689
lime,crown,0.8912
lime,cup,0.8854
lime,door,0.9182
lime,duck,0.8748
lime,eye,0.9060
lime,face,0.9100
lime,feather,0.8952
lime,firetruck,0.8665
lime,fish,0.9199
lime,floor_lamp,0.7476
lime,flower,0.8930
lime,key,0.8404
lime,ladder,0.8908
lime,laptop,0.8600
lime,leaf,0.9058
lime,light_bulb,0.7618
lime,lighthouse,0.8834
lime,lion,0.9056
lime,marker,0.9035
lime,mermaid,0.9177
lime,microwave,0.8760
lime,mouse,0.7883
lime,palm_tree,0.9144
lime,raccoon,0.9107
lime,sailboat,0.8722
lime,saw,0.8342
lime,saxophone,0.9024
lime,school_bus,0.9296
lime,scissors,0.8553
lime,scorpion,0.9079
lime,screwdriver,0.8584
lime,sheep,0.8871
lime,shoe,0.9152
lime,shorts,0.8969
lime,shovel,0.8837
lime,sink,0.8928
lime,skull,0.9376
lime,skyscraper,0.9317
lime,snail,0.9190
lime,snake,0.9184
lime,soccer_ball,0.9213
lime,sock,0.9172
lime,speedboat,0.8370
lime,spider,0.9156
lime,spoon,0.8793
lime,spreadsheet,0.9138
lime,squirrel,0.9019
lime,stairs,0.8829
lime,stethoscope,0.8470
lime,suitcase,0.8166
lime,swan,0.8997
lime,sword,0.8896
lime,teapot,0.8467
lime,telephone,0.9038
lime,tent,0.8354
lime,tiger,0.9199
lime,toaster,0.8643
lime,tree,0.9206
lime,triangle,0.8937
lime,trumpet,0.8023
lime,umbrella,0.8781
lime,wine_bottle,0.8953
lime,wine_glass,0.8387
lime,yoga,0.9035
